"","local","visita","pgan","pemp","pper"
"1","Argentina","Bolivia",0.722222222222222,0.222222222222222,0.0555555555555556
"2","Argentina","Brasil",0.583333333333333,0.0833333333333333,0.333333333333333
"3","Argentina","Chile",0.555555555555556,0.388888888888889,0.0555555555555556
"4","Argentina","Colombia",0.555555555555556,0.388888888888889,0.0555555555555556
"5","Argentina","Ecuador",0.722222222222222,0.222222222222222,0.0555555555555556
"6","Argentina","Paraguay",0.222222222222222,0.722222222222222,0.0555555555555556
"7","Argentina","Peru",0.888888888888889,0.0555555555555556,0.0555555555555556
"8","Argentina","Uruguay",0.722222222222222,0.222222222222222,0.0555555555555556
"9","Argentina","Venezuela",0.888888888888889,0.0555555555555556,0.0555555555555556
"10","Bolivia","Argentina",0.388888888888889,0.388888888888889,0.222222222222222
"11","Bolivia","Brasil",0.583333333333333,0.333333333333333,0.0833333333333333
"12","Bolivia","Chile",0.222222222222222,0.222222222222222,0.555555555555556
"13","Bolivia","Colombia",0.222222222222222,0.555555555555556,0.222222222222222
"14","Bolivia","Ecuador",0.222222222222222,0.222222222222222,0.555555555555556
"15","Bolivia","Paraguay",0.555555555555556,0.388888888888889,0.0555555555555556
"16","Bolivia","Peru",0.555555555555556,0.388888888888889,0.0555555555555556
"17","Bolivia","Uruguay",0.388888888888889,0.555555555555556,0.0555555555555556
"18","Bolivia","Venezuela",0.555555555555556,0.222222222222222,0.222222222222222
"19","Brasil","Argentina",0.583333333333333,0.333333333333333,0.0833333333333333
"20","Brasil","Bolivia",0.583333333333333,0.333333333333333,0.0833333333333333
"21","Brasil","Chile",0.833333333333333,0.0833333333333333,0.0833333333333333
"22","Brasil","Colombia",0.333333333333333,0.583333333333333,0.0833333333333333
"23","Brasil","Ecuador",0.833333333333333,0.0833333333333333,0.0833333333333333
"24","Brasil","Paraguay",0.833333333333333,0.0833333333333333,0.0833333333333333
"25","Brasil","Peru",0.583333333333333,0.333333333333333,0.0833333333333333
"26","Brasil","Uruguay",0.333333333333333,0.583333333333333,0.0833333333333333
"27","Brasil","Venezuela",0.583333333333333,0.333333333333333,0.0833333333333333
"28","Chile","Argentina",0.222222222222222,0.222222222222222,0.555555555555556
"29","Chile","Bolivia",0.722222222222222,0.222222222222222,0.0555555555555556
"30","Chile","Brasil",0.333333333333333,0.333333333333333,0.333333333333333
"31","Chile","Colombia",0.388888888888889,0.222222222222222,0.388888888888889
"32","Chile","Ecuador",0.555555555555556,0.388888888888889,0.0555555555555556
"33","Chile","Paraguay",0.555555555555556,0.0555555555555556,0.388888888888889
"34","Chile","Peru",0.722222222222222,0.222222222222222,0.0555555555555556
"35","Chile","Uruguay",0.388888888888889,0.388888888888889,0.222222222222222
"36","Chile","Venezuela",0.555555555555556,0.222222222222222,0.222222222222222
"37","Colombia","Argentina",0.222222222222222,0.222222222222222,0.555555555555556
"38","Colombia","Bolivia",0.888888888888889,0.0555555555555556,0.0555555555555556
"39","Colombia","Brasil",0.0833333333333333,0.583333333333333,0.333333333333333
"40","Colombia","Chile",0.388888888888889,0.388888888888889,0.222222222222222
"41","Colombia","Ecuador",0.722222222222222,0.222222222222222,0.0555555555555556
"42","Colombia","Paraguay",0.388888888888889,0.222222222222222,0.388888888888889
"43","Colombia","Peru",0.555555555555556,0.0555555555555556,0.388888888888889
"44","Colombia","Uruguay",0.722222222222222,0.0555555555555556,0.222222222222222
"45","Colombia","Venezuela",0.555555555555556,0.222222222222222,0.222222222222222
"46","Ecuador","Argentina",0.555555555555556,0.222222222222222,0.222222222222222
"47","Ecuador","Bolivia",0.888888888888889,0.0555555555555556,0.0555555555555556
"48","Ecuador","Brasil",0.583333333333333,0.333333333333333,0.0833333333333333
"49","Ecuador","Chile",0.722222222222222,0.222222222222222,0.0555555555555556
"50","Ecuador","Colombia",0.388888888888889,0.388888888888889,0.222222222222222
"51","Ecuador","Paraguay",0.722222222222222,0.222222222222222,0.0555555555555556
"52","Ecuador","Peru",0.722222222222222,0.222222222222222,0.0555555555555556
"53","Ecuador","Uruguay",0.388888888888889,0.388888888888889,0.222222222222222
"54","Ecuador","Venezuela",0.722222222222222,0.0555555555555556,0.222222222222222
"55","Paraguay","Argentina",0.388888888888889,0.222222222222222,0.388888888888889
"56","Paraguay","Bolivia",0.888888888888889,0.0555555555555556,0.0555555555555556
"57","Paraguay","Brasil",0.583333333333333,0.333333333333333,0.0833333333333333
"58","Paraguay","Chile",0.555555555555556,0.0555555555555556,0.388888888888889
"59","Paraguay","Colombia",0.222222222222222,0.0555555555555556,0.722222222222222
"60","Paraguay","Ecuador",0.888888888888889,0.0555555555555556,0.0555555555555556
"61","Paraguay","Peru",0.722222222222222,0.222222222222222,0.0555555555555556
"62","Paraguay","Uruguay",0.722222222222222,0.222222222222222,0.0555555555555556
"63","Paraguay","Venezuela",0.722222222222222,0.0555555555555556,0.222222222222222
"64","Peru","Argentina",0.0555555555555556,0.555555555555556,0.388888888888889
"65","Peru","Bolivia",0.555555555555556,0.388888888888889,0.0555555555555556
"66","Peru","Brasil",0.0833333333333333,0.583333333333333,0.333333333333333
"67","Peru","Chile",0.722222222222222,0.0555555555555556,0.222222222222222
"68","Peru","Colombia",0.0555555555555556,0.388888888888889,0.555555555555556
"69","Peru","Ecuador",0.222222222222222,0.388888888888889,0.388888888888889
"70","Peru","Paraguay",0.722222222222222,0.222222222222222,0.0555555555555556
"71","Peru","Uruguay",0.388888888888889,0.222222222222222,0.388888888888889
"72","Peru","Venezuela",0.722222222222222,0.222222222222222,0.0555555555555556
"73","Uruguay","Argentina",0.388888888888889,0.388888888888889,0.222222222222222
"74","Uruguay","Bolivia",0.888888888888889,0.0555555555555556,0.0555555555555556
"75","Uruguay","Brasil",0.333333333333333,0.333333333333333,0.333333333333333
"76","Uruguay","Chile",0.722222222222222,0.222222222222222,0.0555555555555556
"77","Uruguay","Colombia",0.555555555555556,0.388888888888889,0.0555555555555556
"78","Uruguay","Ecuador",0.555555555555556,0.388888888888889,0.0555555555555556
"79","Uruguay","Paraguay",0.388888888888889,0.222222222222222,0.388888888888889
"80","Uruguay","Peru",0.555555555555556,0.222222222222222,0.222222222222222
"81","Uruguay","Venezuela",0.388888888888889,0.388888888888889,0.222222222222222
"82","Venezuela","Argentina",0.222222222222222,0.0555555555555556,0.722222222222222
"83","Venezuela","Bolivia",0.722222222222222,0.222222222222222,0.0555555555555556
"84","Venezuela","Brasil",0.0833333333333333,0.0833333333333333,0.833333333333333
"85","Venezuela","Chile",0.0555555555555556,0.222222222222222,0.722222222222222
"86","Venezuela","Colombia",0.388888888888889,0.388888888888889,0.222222222222222
"87","Venezuela","Ecuador",0.388888888888889,0.388888888888889,0.222222222222222
"88","Venezuela","Paraguay",0.222222222222222,0.222222222222222,0.555555555555556
"89","Venezuela","Peru",0.722222222222222,0.0555555555555556,0.222222222222222
"90","Venezuela","Uruguay",0.222222222222222,0.388888888888889,0.388888888888889
